dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
movie_review,no-is,0.0,roberta,0.8800247372,0.8687401586,0.8787092449,0.8807974776,0.8723982538,0.8721159580,0.8808604183,0.8760744582,0.8703615579,0.8874153767,
movie_review,sublinear-ae-is,0.24991141871037545,roberta,0.8668041578,0.8725388237,0.8889540201,0.8817994614,0.8494291798,0.8949339641,0.8807865611,0.8780449169,0.8664740150,0.8658525961,
mpqa,adaptive-cluster-is,0.45109699366426986,roberta,0.8974831300,0.8770765108,0.8605415352,0.8502111518,0.8623598745,0.8786472743,0.8836162410,0.8915445462,0.8689368602,0.8700203340,
mpqa,adaptive-perplexity,0.2613930956795235,roberta,0.8808321918,0.8630405445,0.8850858625,0.8673315396,0.8806231776,0.8609542386,0.8854306445,0.8998113850,0.8819139466,0.8642787407,
mpqa,autoencoder-is,0.2499633337822089,roberta,0.8917450905,0.8651042550,0.8699531782,0.8400281185,0.8624745738,0.8731771456,0.8877649090,0.8900630602,0.8954222573,0.8935139979,
mpqa,biois,0.30670270511719216,roberta,0.8850353119,0.8727975666,0.8719224491,0.8567819183,0.8718054479,0.8848829848,0.8884849097,0.8989635266,0.8924835750,0.8762059789,
mpqa,entropy-sublinear-ae-is,0.3051100705393103,roberta,0.8909597621,0.8848309293,0.8891569240,0.8708097223,0.8680512374,0.8767311088,0.8809748238,0.9067279095,0.8827791127,0.8619614673,
mpqa,gmm-is,0.2998302855342338,roberta,0.8806464515,0.8822532958,0.8760619319,0.8643244893,0.8724996688,0.8819663665,0.8850744009,0.8917483660,0.8910052877,0.8821812038,
mpqa,no-is,0.0,roberta,0.8730777481,0.8779606537,0.8770516906,0.8725655571,0.8601751106,0.8752660628,0.8833685322,0.8957837020,0.8925509731,0.8793884030,
mpqa,sublinear-ae-is,0.2500471440046525,roberta,0.8872097884,0.8855766258,0.8647012388,0.8611658019,0.8665974966,0.8754392357,0.8684627213,0.8911861169,0.8750055910,0.8813709190,
ohsumed,adaptive-cluster-is,0.40500729732675994,roberta,0.7426353842,0.7016095160,0.7489754997,0.7182237732,0.7297935554,0.7461195384,0.7456281002,0.7219974509,0.7540541055,0.7298535850,
ohsumed,adaptive-perplexity,0.4171978398668459,roberta,0.7360897128,0.7211116869,0.7126314356,0.7233538053,0.7328856538,0.7383253456,0.7474990033,0.7206780143,0.7226840790,0.7411844903,
