dataset,method,time_mean,time_error,time_n,reduction_mean,reduction_error,reduction_n
20ng,adaptive-perplexity,22.315020823478697,2.2362837807843556,10,0.3900763844596542,0.04446303193442973,10
20ng,adaptive-v2-perplexity,18.977799654006958,2.8923336760506473,10,0.38311096805421946,0.0004933680793873737,10
20ng,biois,230.81433200836182,13.0339447860243,10,0.31948428902193715,0.00043116461052380853,10
20ng,no-is,0.012337350845336914,0.0024496329168145793,10,0.0,0.0,10
20ng,perplexity-is,15.960771441459656,0.8753260093592328,10,0.299951656431839,1.5502165296290874e-05,10
acm,adaptive-cluster-is,18.59615910053253,0.5168987270328286,10,0.399276777462931,0.007159768311649146,10
acm,adaptive-perplexity,17.195323872566224,1.094875597197033,10,0.31812854708830723,0.009226224038327716,10
acm,adaptive-v2-perplexity,12.808954787254333,1.0323648222643058,10,0.38203620852365733,0.0002444128416630286,10
acm,biois,401.5819892883301,12.987383246770811,10,0.37149504125884236,0.00029686432545496434,10
acm,no-is,0.012246417999267577,0.001606144022777917,10,0.0,0.0,10
acm,perplexity-is,12.818945407867432,1.1974926412763782,10,0.299951357075815,2.3813916853340517e-05,10
agnews,adaptive-perplexity,55.13425531387329,2.9691521841015054,5,0.18601097178683385,0.014340135407312948,5
agnews,adaptive-v2-perplexity,44.3076075553894,4.109279087737749,5,0.38345807210031346,0.00013615668312492473,5
agnews,biois,403.8121564388275,61.92656914238811,5,0.29253722570532914,0.0001483265556463169,5
agnews,no-is,0.05272073745727539,0.0025317771018348273,5,0.0,0.0,5
agnews,perplexity-is,43.429621648788455,2.1029791792130825,5,0.2999902037617555,0.0,5
books,adaptive-perplexity,20.022370862960816,0.8797104341966114,10,0.3819928806453481,0.020216673206103507,10
books,adaptive-v2-perplexity,17.14414339065552,1.3012054120964633,10,0.38404344661882617,0.0006021841204154952,10
books,biois,324.8042201280594,20.21862113016886,10,0.34632506830384324,0.0003346895657782242,10
books,no-is,0.018836832046508788,0.0022829627299388124,10,0.0,0.0,10
books,perplexity-is,16.853242135047914,1.3597648550616217,10,0.29998412416227677,6.8574976684564885e-06,10
dblp,adaptive-perplexity,25.320734572410583,2.8034563250313305,10,0.2832097159675644,0.017990485128592314,10
dblp,adaptive-v2-perplexity,21.39981601238251,1.9097643278120187,10,0.3834685498036888,0.0002534338714520884,10
dblp,biois,381.5837882041931,31.437931122528095,10,0.34926796398573945,0.00026791212398190453,10
dblp,no-is,0.022730708122253418,0.0019437321073995724,10,0.0,0.0,10
dblp,perplexity-is,19.18498899936676,1.463824007931147,10,0.29998368074202386,2.6367260644350105e-06,10
medline,adaptive-perplexity,331.2139374256134,22.42445781551393,5,0.12201134347775972,0.006321099325371007,5
medline,adaptive-v2-perplexity,304.5292444229126,8.971134880138639,5,0.37833876157223245,0.0003226050732687468,5
medline,biois,531.5784407615662,39.66066174033771,5,0.31989112362838573,0.00031989075755978804,5
medline,no-is,0.38424367904663087,0.02879014623136063,5,0.0,0.0,5
medline,perplexity-is,334.6136754512787,6.453360440405592,5,0.29999918644965484,9.510912442457234e-07,5
movie_review,adaptive-cluster-is,6.965991759300232,0.7714496581665093,10,0.42021510287094177,0.008101186030402432,10
movie_review,adaptive-perplexity,5.630576825141906,0.8144822129675299,10,0.37673774746773286,0.0029060391842313064,10
movie_review,adaptive-v2-perplexity,5.511299467086792,0.6753557242611973,10,0.3863044257410537,5.7171165909058504e-05,10
movie_review,autoencoder-is,8.748995709419251,0.7078009862498819,10,0.2998186711894243,9.42467003740187e-06,10
movie_review,biois,0.5945587396621704,0.008760493571772563,10,0.3727672486429881,0.0007583023767511775,10
movie_review,gmm-is,18.68906545639038,4.943920137126001,10,0.2998186711894243,9.42467003740187e-06,10
movie_review,no-is,0.004778647422790527,0.000129449048166309,10,0.0,0.0,10
movie_review,perplexity-is,5.388315796852112,0.6841673714863007,10,0.2998186711894243,9.42467003740187e-06,10
mpqa,adaptive-cluster-is,6.810380959510804,0.31447759511691953,10,0.45109699366426986,0.007531523259922947,10
mpqa,adaptive-perplexity,3.7339271545410155,0.8047768770056435,10,0.08580048392954212,0.0012417857481109348,10
mpqa,adaptive-v2-perplexity,3.6064528703689573,0.6684184468897747,10,0.36699360939508585,0.0020590807041367255,10
mpqa,autoencoder-is,6.803149461746216,0.34476476479104295,10,0.2997883798742644,5.153659900882907e-05,10
mpqa,biois,0.5326583862304688,0.008058286410366088,10,0.34671149715139626,0.0006236278036282373,10
mpqa,gmm-is,11.578541922569276,5.387469062855883,10,0.2997883809717596,4.2213146791622515e-05,10
mpqa,no-is,0.0047038555145263675,6.432662573973561e-05,10,0.0,0.0,10
mpqa,perplexity-is,3.667299818992615,0.644035279307638,10,0.29963123611874326,9.595945884792184e-05,10
ohsumed,adaptive-cluster-is,13.436185956001282,0.7995827518450392,10,0.40500729732675994,0.003899353519914615,10
ohsumed,adaptive-perplexity,13.025834274291991,0.6105991738369407,10,0.29780596433798656,0.018128019074870962,10
ohsumed,adaptive-v2-perplexity,6.642974090576172,0.4649231905851996,10,0.3218227506958895,0.0003830691327218795,10
ohsumed,autoencoder-is,24.836997747421265,1.2174969422086979,10,0.29995507432094953,1.2819237156608598e-05,10
ohsumed,biois,347.9127844572067,8.904812284262842,10,0.39798322851805207,0.0006910931170737178,10
ohsumed,gmm-is,57.49482810497284,14.228523824459112,10,0.29995507432094953,1.2819237156608598e-05,10
ohsumed,no-is,0.010983896255493165,0.0018436846746089004,10,0.0,0.0,10
ohsumed,perplexity-is,10.501505780220032,1.1435654609416848,10,0.29995507432094953,1.2819237156608598e-05,10
pang_movie,adaptive-cluster-is,6.454425573348999,0.38101506839158295,10,0.42679059086098603,0.005668124003132873,10
pang_movie,adaptive-perplexity,5.845108890533448,0.6732385418116832,10,0.16631216337013469,0.00562799173607982,10
pang_movie,adaptive-v2-perplexity,5.730119371414185,0.6876112270797361,10,0.3852206177735616,0.00016532388729341145,10
pang_movie,autoencoder-is,11.484657692909241,1.3839331616814026,10,0.299818671840805,1.4138478581755749e-05,10
pang_movie,biois,1.5924015045166016,0.09242714336503781,10,0.3708601396784481,0.0011306609993785557,10
pang_movie,gmm-is,36.09146595001221,8.203067966368543,10,0.299818671840805,1.4138478581755749e-05,10
