dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
dblp,entropy-sublinear-ae-is,0.16870948874222738,modernbert,1954.73,1980.56,1650.72,1646.04,1682.86,1970.90,1683.58,1629.33,1992.31,1637.05,
dblp,entropy-sublinear-ae-is,0.16870948874222738,roberta,1452.16,1704.76,1462.16,1454.05,1483.54,1694.72,1485.42,1678.58,1714.24,1449.15,
dblp,gmm-is,0.29998368074202386,roberta,1501.47,1285.82,1498.79,1287.15,1285.53,1288.45,1288.36,1077.66,1288.52,1302.71,
dblp,no-is,0.0,modernbert,2338.44,1942.02,1948.43,2333.16,1946.87,1946.95,1944.82,2331.45,1943.53,1943.92,
dblp,no-is,0.0,roberta,1819.15,1818.18,1516.36,1818.02,1817.09,1820.56,1818.88,1818.05,1818.78,1818.05,
dblp,sublinear-ae-is,0.24998834337502818,modernbert,1789.33,1786.06,1786.25,1791.28,1494.65,1494.18,1785.52,1493.33,1498.65,1785.22,
dblp,sublinear-ae-is,0.24998834337502818,roberta,1326.26,1324.28,1538.55,1325.28,1324.03,1324.15,1322.15,1322.17,1322.81,1322.24,
movie_review,adaptive-cluster-is,0.42021510287094177,roberta,258.63,294.19,303.28,295.97,300.85,302.33,305.01,299.91,247.41,261.17,
movie_review,adaptive-perplexity,0.3620855050556283,roberta,272.57,330.00,272.95,327.37,276.22,381.19,274.61,274.35,272.86,326.99,
movie_review,autoencoder-is,0.24990099878770922,modernbert,413.59,412.23,412.33,412.38,493.46,412.58,413.11,413.22,413.11,412.37,
movie_review,autoencoder-is,0.24990099878770922,roberta,367.67,305.51,367.51,307.34,305.65,365.40,305.72,305.68,305.48,366.01,
movie_review,biois,0.3440046617044057,modernbert,360.07,357.41,357.41,356.58,356.90,357.39,356.95,367.59,356.47,355.87,
movie_review,biois,0.3440046617044057,roberta,335.68,280.63,279.15,333.52,279.85,278.61,334.03,334.14,278.99,278.53,
movie_review,entropy-sublinear-ae-is,0.2972134591862468,modernbert,393.08,378.40,381.30,382.62,408.99,380.99,387.70,388.02,393.59,385.43,
movie_review,entropy-sublinear-ae-is,0.2972134591862468,roberta,291.26,280.39,282.81,338.84,304.74,338.80,342.97,343.50,348.13,285.72,
movie_review,gmm-is,0.2998186711894243,roberta,370.58,309.31,368.83,309.39,368.64,309.39,309.46,309.49,309.66,309.34,
movie_review,no-is,0.0,modernbert,650.57,541.41,541.54,540.55,540.82,542.81,541.56,540.50,540.89,541.16,
movie_review,no-is,0.0,roberta,423.76,507.40,507.22,423.11,422.98,507.92,423.10,507.70,507.77,509.37,
movie_review,sublinear-ae-is,0.24991141871037545,modernbert,495.16,412.72,495.80,413.57,415.03,412.93,413.86,412.89,413.31,413.36,
movie_review,sublinear-ae-is,0.24991141871037545,roberta,308.64,307.70,365.89,365.83,306.35,306.30,306.37,366.49,306.60,308.30,
mpqa,adaptive-cluster-is,0.45109699366426986,roberta,341.06,235.48,231.87,243.23,280.86,278.36,240.48,237.98,287.51,330.33,
mpqa,adaptive-perplexity,0.2613930956795235,roberta,312.76,373.20,431.32,311.99,391.40,371.08,381.82,545.63,320.34,384.06,
mpqa,autoencoder-is,0.2499633337822089,modernbert,410.75,410.29,490.97,409.71,492.92,411.23,409.77,410.30,490.62,490.61,
mpqa,autoencoder-is,0.2499633337822089,roberta,377.28,363.58,304.59,363.09,422.25,362.96,363.23,303.65,422.27,303.87,
mpqa,biois,0.30670270511719216,modernbert,451.52,449.26,373.04,373.73,373.68,374.23,374.02,447.81,374.30,373.75,
mpqa,biois,0.30670270511719216,roberta,295.40,292.62,408.19,292.06,350.76,292.71,350.58,408.72,294.32,350.73,
mpqa,entropy-sublinear-ae-is,0.3051100705393103,modernbert,463.24,383.12,387.73,387.70,390.31,376.72,381.00,372.60,454.31,380.14,
mpqa,entropy-sublinear-ae-is,0.3051100705393103,roberta,282.07,337.26,343.11,343.24,288.03,333.82,337.10,383.78,336.27,282.80,
mpqa,gmm-is,0.2998302855342338,roberta,428.22,368.23,368.44,369.28,546.07,368.47,368.85,370.03,309.50,310.46,
mpqa,no-is,0.0,modernbert,541.09,647.90,537.84,538.07,538.12,538.09,537.30,645.50,537.89,540.00,
mpqa,no-is,0.0,roberta,421.61,420.45,420.41,505.76,504.34,420.18,504.38,420.20,420.36,420.43,
