dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
mpqa,gmm-is,0.2998302855342338,roberta,428.22,368.23,368.44,369.28,546.07,368.47,368.85,370.03,309.50,310.46,
mpqa,no-is,0.0,roberta,421.61,420.45,420.41,505.76,504.34,420.18,504.38,420.20,420.36,420.43,
mpqa,sublinear-ae-is,0.3499800958266976,roberta,265.75,264.74,264.56,264.55,318.51,318.01,369.62,264.55,315.80,316.10,
ohsumed,adaptive-cluster-is,0.40500729732675994,roberta,635.51,629.67,625.04,535.61,614.94,609.84,618.59,624.56,618.82,622.38,
ohsumed,adaptive-perplexity,0.4171978398668459,roberta,599.03,611.58,609.91,602.35,516.41,598.81,598.09,513.44,604.60,594.61,
ohsumed,autoencoder-is,0.29995507432094953,roberta,625.11,725.96,727.97,624.44,726.23,624.11,725.89,624.38,729.38,727.14,
ohsumed,biois,0.3904248471764685,roberta,736.46,560.63,559.05,648.12,558.33,645.93,559.82,646.09,645.43,560.75,
ohsumed,entropy-sublinear-ae-is,0.13904383590108438,roberta,829.20,949.84,845.24,854.02,947.02,854.79,718.42,839.30,726.67,834.90,
ohsumed,gmm-is,0.29995507432094953,roberta,726.98,725.31,727.48,623.39,725.75,725.43,623.97,624.24,830.31,726.15,
ohsumed,no-is,0.0,roberta,1021.42,1022.73,1166.95,1021.49,1021.72,1021.69,1022.16,1022.06,878.14,1022.24,
ohsumed,sublinear-ae-is,0.3499981784695305,roberta,569.60,726.75,638.35,638.07,640.73,642.67,551.49,641.39,643.95,640.71,
pang_movie,adaptive-cluster-is,0.42679059086098603,roberta,256.69,301.13,296.05,252.28,249.38,292.60,299.22,345.03,291.43,250.24,
pang_movie,adaptive-perplexity,0.35795870056690116,roberta,278.48,328.79,273.07,329.19,330.29,329.52,274.10,336.52,274.10,274.87,
pang_movie,autoencoder-is,0.299818671840805,roberta,363.26,362.50,305.78,304.75,305.12,305.03,304.62,304.78,363.96,362.44,
pang_movie,biois,0.34311886041392237,roberta,336.33,279.17,334.58,279.40,333.90,279.44,334.94,333.34,282.78,335.01,
pang_movie,entropy-sublinear-ae-is,0.2935761617371841,roberta,295.26,332.02,284.02,345.78,349.76,281.34,353.81,290.56,296.19,347.65,
