dataset,method,time_mean,time_error,time_n,reduction_mean,reduction_error,reduction_n
trec,e2sc-is,0.32143869400024416,0.013394645397924164,10,0.24996266567108455,1.4076019929054193e-05,10
trec,entropy-sublinear-ae-is,4.610982489585877,0.7719487348161009,10,0.13995297380198,0.010745010182781895,10
trec,lsbo-is,38.653444623947145,0.09017936605068043,10,0.709490771882371,0.001354734129875226,10
trec,lssm-is,25.150247526168823,0.13543236684024018,10,0.26978787744023686,0.0015451072177470034,10
twitter,cnn-is,58.02111954689026,4.835102207819459,10,0.7432708483773948,0.0024736996131396326,10
twitter,e2sc-is,0.3489887475967407,0.020191460945536862,10,0.24994839190361837,1.3714486306848912e-05,10
twitter,entropy-sublinear-ae-is,5.134347128868103,0.5512070710662446,10,0.23470343285246298,0.012105196144497982,10
twitter,lsbo-is,62.634390640258786,0.16254541937624098,10,0.8795992037622395,0.0011376222377237099,10
twitter,lssm-is,35.201052284240724,0.14045237752777748,10,0.09014975501094268,0.0011613980515078769,10
vader_movie,cnn-is,202.8170107603073,19.355112465441945,10,0.5007883594225875,0.003457490209198876,10
vader_movie,e2sc-is,0.6803833484649658,0.05371549862488967,10,0.4999789717169593,1.94200776884246e-05,10
vader_movie,entropy-sublinear-ae-is,6.769053292274475,0.6043011248146889,10,0.2348484962891943,0.013644534718826045,10
vader_movie,lsbo-is,121.48168392181397,1.493918024817497,10,0.7168180257888368,0.00180283847142675,10
vader_movie,lssm-is,72.02440648078918,0.18250043584805975,10,0.17407893234362454,0.0012592129386354385,10
webkb,cnn-is,119.0144662618637,5.60287564249449,10,0.4373707900641053,0.0026692539413911793,10
webkb,e2sc-is,0.4522804498672485,0.03423249733846355,10,0.24994918285743423,2.3552269626723513e-05,10
webkb,entropy-sublinear-ae-is,5.461158180236817,0.3375235572058369,10,0.2268038087792201,0.013501365440506183,10
webkb,lsbo-is,73.62859566211701,0.3618717114347635,10,0.7177970888541487,0.0021535948298902433,10
webkb,lssm-is,46.67648811340332,0.12065131779427966,10,0.2264774157903613,0.0017243982140836883,10
wos11967,cnn-is,222.85736589431764,19.834514708935277,10,0.5233001628310553,0.0031296953259444065,10
wos11967,e2sc-is,0.5937699317932129,0.08447743466345384,10,0.49998607371646087,1.6040767543116296e-05,10
wos11967,entropy-sublinear-ae-is,7.665217566490173,0.4544652638989242,10,0.14839893599918003,0.007962766716698393,10
wos11967,lsbo-is,173.3232890367508,0.786516931647094,10,0.7772485801526796,0.0018098241620333256,10
wos11967,lssm-is,107.40132746696472,0.24343046301794746,10,0.20320700284740992,0.0012096248156058412,10
wos5736,cnn-is,51.78355824947357,5.536242414027105,10,0.5387996715820547,0.0023849948701411498,10
wos5736,e2sc-is,0.2406470537185669,0.014942730463748728,10,0.499961262831687,3.5774619193219376e-05,10
wos5736,entropy-sublinear-ae-is,3.9861772298812865,0.40597133976199534,10,0.2219899242839196,0.013813039057720957,10
wos5736,lsbo-is,40.39540832042694,1.2512463641428464,10,0.779191908299322,0.0022036478000330238,10
wos5736,lssm-is,23.946050238609313,0.05749726460104184,10,0.19370854956019956,0.002256350461952218,10
yelp_reviews,cnn-is,42.369308066368106,3.563212795721927,10,0.6894888888888889,0.006028717522852377,10
yelp_reviews,e2sc-is,0.2279728889465332,0.008278033088215453,10,0.5,0.0,10
yelp_reviews,entropy-sublinear-ae-is,3.74008309841156,0.409630131797828,10,0.2735111111111111,0.019597598025629704,10
yelp_reviews,lsbo-is,29.93467037677765,0.058630992584995614,10,0.7825111111111112,0.002538020806560251,10
yelp_reviews,lssm-is,16.74744873046875,0.07547421567040861,10,0.092,0.001793830130441336,10
