dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
ohsumed,perplexity-is,0.29996721687452854,roberta,0.7598329387,0.7209716877,0.7565781644,0.7596728747,0.7279731164,0.7447166508,0.7789273795,0.7603087736,0.7369489208,0.7470881862,
ohsumed,random-is,0.49999392872321047,roberta,0.7368148900,0.6967211582,0.7265703582,0.7193069191,0.7394665690,0.7431410191,0.7383592525,0.7074111548,0.7151053784,0.7363284117,
reuters90,adaptive-perplexity,0.3106304231572523,roberta,0.4488721975,0.3448985288,0.3996761910,0.3677930878,0.4158195368,0.3798881965,0.4957049926,0.4153230918,0.4186882271,0.4465829658,
reuters90,autoencoder-is,0.3999483220451996,roberta,0.4446301570,0.3030576244,0.3507757202,0.3458738890,0.4201075384,0.3625862165,0.4308410734,0.3805264987,0.3673462594,0.4259552530,
reuters90,biois,0.404591172944125,roberta,0.4419955002,0.3267905018,0.3720137970,0.3584911661,0.4174757142,0.3679918272,0.4626307676,0.4198993836,0.4172059929,0.4539300333,
reuters90,gmm-is,0.8998773867728294,roberta,0.3175781512,0.2279577550,0.2904581615,0.3030519619,0.3328899011,0.2731603558,0.2664870102,0.2942648385,0.2967906076,0.3159186414,
reuters90,no-is,0.0,roberta,0.4500766387,0.3552964727,0.4012959365,0.4051158255,0.4482282447,0.3949204035,0.4737548447,0.4422119137,0.4303438477,0.4195934895,
reuters90,perplexity-is,0.3999483220451996,roberta,0.4133887755,0.3361664167,0.3828415760,0.3463493099,0.4148701575,0.3641136592,0.4694724927,0.4460657824,0.4380894983,0.4273735957,
reuters90,random-is,0.5000125135841648,roberta,0.3477136444,0.3294488846,0.4196018385,0.3518748607,0.4302137379,0.3642037810,0.4800228345,0.3909684531,0.3980734500,0.4078577731,
sst1,adaptive-perplexity,0.3623787597540826,roberta,0.5546971868,0.5355396554,0.5056467573,0.5360211822,0.5195859541,0.5189000810,0.5289271157,0.5443455718,0.5395825662,0.5317698027,
sst1,autoencoder-is,0.42485589419301406,roberta,0.5260842566,0.5407426431,0.5256937547,0.5370746494,0.5303646452,0.5237787909,0.5327728879,0.5432517485,0.5296139865,0.5144320339,
sst1,biois,0.5532311640825758,roberta,0.5216111990,0.5395397707,0.5188835035,0.5349456853,0.5106320417,0.5122747255,0.5034588144,0.5559943519,0.5393111301,0.5193211379,
sst1,gmm-is,0.3999250164026619,roberta,0.4561511903,0.5318495361,0.5319833007,0.5462914580,0.5222657802,0.5181374155,0.5127832985,0.5414603063,0.5558942567,0.5088051315,
sst1,no-is,0.0,roberta,0.5430741309,0.5474880064,0.5013794991,0.5551504247,0.5124502288,0.5330373391,0.5213945648,0.5570423527,0.5332232633,0.5401229469,
sst1,perplexity-is,0.41988846804803626,roberta,0.5220663507,0.5686596535,0.5189137352,0.5286386139,0.5054151975,0.4895273031,0.5363512907,0.5328797864,0.5229009726,0.5022664345,
sst1,random-is,0.5000234323741681,roberta,0.5203681678,0.5368003187,0.5208704853,0.5220199272,0.5229422778,0.5161477403,0.4916099166,0.5344826865,0.5354496676,0.5231894776,
sst2,adaptive-perplexity,0.37485131155417883,roberta,0.9133257130,0.9137004320,0.9178047227,0.9240213359,0.9165363905,0.9292182247,0.9228825617,0.9229667663,0.9207570589,0.9342356385,
sst2,autoencoder-is,0.29998728096607796,roberta,0.9229006377,0.9074403002,0.9260739261,0.9239056275,0.9060397872,0.9239531402,0.9281994809,0.9281686799,0.9405938983,0.9343295141,
sst2,biois,0.35928195281847647,roberta,0.9364964965,0.9072815266,0.9260739261,0.9271016654,0.9198070523,0.9239976296,0.9207983066,0.9122603365,0.9343705183,0.9384253332,
sst2,gmm-is,0.4999479828921512,roberta,0.9187922078,0.9240802462,0.9157522583,0.9228825617,0.9176652275,0.9114261704,0.9228564610,0.9322870427,0.9406659684,0.9271016654,
sst2,no-is,0.0,roberta,0.9260476724,0.9209487192,0.9365157326,0.9313125406,0.9292127042,0.9291844749,0.9406124474,0.9292274236,0.9406209451,0.9322670715,
sst2,perplexity-is,0.29998728096607796,roberta,0.9209104087,0.9187489442,0.9230020421,0.9301208481,0.9112271058,0.9333240824,0.9270510718,0.9197360728,0.9312500000,0.9312672845,
sst2,random-is,0.4999826609640504,roberta,0.9146413778,0.9147428581,0.9115918760,0.9125000000,0.9124612862,0.9219075893,0.9146565990,0.9354401796,0.9344293721,0.9281471970,
twitter,adaptive-perplexity,0.26698831771423764,roberta,0.7876890841,0.7985039419,0.7887275042,0.7781527686,0.8077276808,0.7335170726,0.7413098460,0.7626061063,0.8186276357,0.7788974535,
twitter,autoencoder-is,0.4247216977865984,roberta,0.7543842790,0.7917509638,0.7982643925,0.7464184634,0.8201948328,0.7660791281,0.7560336721,0.7493024211,0.7889191933,0.7298678325,
twitter,biois,0.37044450943260443,roberta,0.7776843307,0.8010756945,0.7715333731,,,,,,,,
